{'Pressao': 0.04584597925742738, 'Raio': 11.061100100000015, 'Massa': 0.6230557123153866}
{'Pressao': 0.11292799564412792, 'Raio': 14.511100100000023, 'Massa': 1.5560120416459018}
{'Pressao': 0.19695717359280945, 'Raio': 15.561100100000026, 'Massa': 2.1164649537732374}
{'Pressao': 0.300324504516949, 'Raio': 15.861100100000026, 'Massa': 2.4508793524811097}
{'Pressao': 0.42659706127681096, 'Raio': 15.861100100000026, 'Massa': 2.6534741551914407}
{'Pressao': 0.5788767026479906, 'Raio': 15.561100100000026, 'Massa': 2.7195427011378137}
{'Pressao': 0.7641900888396395, 'Raio': 15.261100100000025, 'Massa': 2.754006160115812}
{'Pressao': 1.0034919539942389, 'Raio': 14.961100100000024, 'Massa': 2.7655615659617965}
{'Pressao': 1.2639806020012614, 'Raio': 14.511100100000023, 'Massa': 2.7038065137504654}
{'Pressao': 1.5267811730526886, 'Raio': 14.211100100000023, 'Massa': 2.663190586772937}
{'Pressao': 1.8599248991952195, 'Raio': 13.911100100000022, 'Massa': 2.6152869947678234}
{'Pressao': 2.184584515809845, 'Raio': 13.611100100000021, 'Massa': 2.556444267544664}
{'Pressao': 2.705384631054529, 'Raio': 13.31110010000002, 'Massa': 2.495010876648798}
{'Pressao': 3.1222862367925885, 'Raio': 13.16110010000002, 'Massa': 2.46086341600283}
{'Pressao': 3.665955346669502, 'Raio': 12.86110010000002, 'Massa': 2.389698592504146}
{'Pressao': 4.277068814437482, 'Raio': 12.711100100000019, 'Massa': 2.3485866732347866}
{'Pressao': 4.959609228461942, 'Raio': 12.561100100000019, 'Massa': 2.3051116007094987}
{'Pressao': 5.7176766188457595, 'Raio': 12.411100100000018, 'Massa': 2.2602464855680253}
{'Pressao': 6.55734392533106, 'Raio': 12.261100100000018, 'Massa': 2.214693812319393}
{'Pressao': 7.484231722027628, 'Raio': 12.111100100000018, 'Massa': 2.1689825046630435}
