{'Pressão': 0.005294956379737558, 'Raio': 1e-07, 'Massa': 0.0}
{'Pressão': 0.0723769727664381, 'Raio': 10.761100100000014, 'Massa': 0.7512074692033054}
{'Pressão': 0.15640615071511962, 'Raio': 13.16110010000002, 'Massa': 1.5039485215961825}
{'Pressão': 0.2597734816392592, 'Raio': 13.911100100000022, 'Massa': 1.9433861144838294}
{'Pressão': 0.38604603839912116, 'Raio': 14.061100100000022, 'Massa': 2.190081164475044}
{'Pressão': 0.5383256797703009, 'Raio': 14.061100100000022, 'Massa': 2.3589758156474905}
{'Pressão': 0.7236390659619497, 'Raio': 13.761100100000021, 'Massa': 2.4015168449973148}
{'Pressão': 0.962940931116549, 'Raio': 13.46110010000002, 'Massa': 2.425157685865586}
{'Pressão': 1.2234295791235716, 'Raio': 13.31110010000002, 'Massa': 2.460403469319947}
{'Pressão': 1.4862301501749986, 'Raio': 13.01110010000002, 'Massa': 2.4261552272535902}
{'Pressão': 1.8193738763175298, 'Raio': 12.711100100000019, 'Massa': 2.385587014806758}
{'Pressão': 2.144033492932155, 'Raio': 12.411100100000018, 'Massa': 2.3319554717910562}
{'Pressão': 2.6648336081768393, 'Raio': 12.111100100000018, 'Massa': 2.278945049441245}
{'Pressão': 3.081735213914899, 'Raio': 11.961100100000017, 'Massa': 2.250943701017042}
{'Pressão': 3.6254043237918117, 'Raio': 11.661100100000017, 'Massa': 2.1845077240784296}
{'Pressão': 4.236517791559792, 'Raio': 11.511100100000016, 'Massa': 2.1494015372644077}
{'Pressão': 4.919058205584252, 'Raio': 11.361100100000016, 'Massa': 2.1111292965034063}
{'Pressão': 5.677125595968069, 'Raio': 11.211100100000015, 'Massa': 2.070735014205404}
{'Pressão': 6.51679290245337, 'Raio': 11.061100100000015, 'Massa': 2.0290119699719122}
{'Pressão': 7.4436806991499385, 'Raio': 10.911100100000015, 'Massa': 1.9865687241334635}
