{'Pressão': 0.04119178469906808, 'Raio': 5.511100100000002, 'Massa': 0.15396711859794943}
{'Pressão': 0.14456898284134606, 'Raio': 9.26110010000001, 'Massa': 0.7941435074153967}
{'Pressão': 0.2708519095935004, 'Raio': 10.461100100000014, 'Massa': 1.2453699868978703}
{'Pressão': 0.4231425668115777, 'Raio': 10.911100100000015, 'Massa': 1.5327753212281905}
{'Pressão': 0.6084654826835282, 'Raio': 11.061100100000015, 'Massa': 1.7231406870277763}
{'Pressão': 0.8477662649643368, 'Raio': 11.061100100000015, 'Massa': 1.8549081762114035}
{'Pressão': 1.1082654231348925, 'Raio': 10.911100100000015, 'Massa': 1.905835004258043}
{'Pressão': 1.37109557163354, 'Raio': 10.761100100000014, 'Massa': 1.9295225988269995}
{'Pressão': 1.7042565271179606, 'Raio': 10.611100100000014, 'Massa': 1.9465825450201995}
{'Pressão': 2.028954203951626, 'Raio': 10.461100100000014, 'Massa': 1.9445971771451271}
{'Pressão': 2.5497452030957515, 'Raio': 10.161100100000013, 'Massa': 1.90398831098905}
{'Pressão': 2.9666888669156077, 'Raio': 10.011100100000013, 'Massa': 1.886080725979874}
{'Pressão': 3.510381188150443, 'Raio': 9.711100100000012, 'Massa': 1.8268110021848378}
{'Pressão': 4.121518775641663, 'Raio': 9.561100100000012, 'Massa': 1.8024622848161922}
{'Pressão': 4.804084591376133, 'Raio': 9.411100100000011, 'Massa': 1.7738139099138515}
{'Pressão': 5.562178925889916, 'Raio': 9.26110010000001, 'Massa': 1.7419326258735084}
{'Pressão': 6.401874605319378, 'Raio': 9.11110010000001, 'Massa': 1.7077036669587011}
{'Pressão': 7.328792230070968, 'Raio': 8.96110010000001, 'Massa': 1.6718284791284175}
