{'Pressão': 0.010799639451439781, 'Raio': 1.6111000999999996, 'Massa': 0.002234838796511605}
{'Pressão': 0.07788165583814033, 'Raio': 11.361100100000016, 'Massa': 0.8643919603879933}
{'Pressão': 0.16191083378682186, 'Raio': 13.46110010000002, 'Massa': 1.5783501571606007}
{'Pressão': 0.2652781647109614, 'Raio': 14.061100100000022, 'Massa': 1.9771622862072382}
{'Pressão': 0.39155072147082337, 'Raio': 14.361100100000023, 'Massa': 2.2741277552939803}
{'Pressão': 0.543830362842003, 'Raio': 14.211100100000023, 'Massa': 2.393381649127855}
{'Pressão': 0.7291437490336519, 'Raio': 14.061100100000022, 'Massa': 2.482980922865924}
{'Pressão': 0.9684456141882513, 'Raio': 13.761100100000021, 'Massa': 2.503747547266944}
{'Pressão': 1.228934262195274, 'Raio': 13.46110010000002, 'Massa': 2.492237854959295}
{'Pressão': 1.4917348332467009, 'Raio': 13.16110010000002, 'Massa': 2.457188938477931}
{'Pressão': 1.824878559389232, 'Raio': 12.86110010000002, 'Massa': 2.415680534999861}
{'Pressão': 2.1495381760038574, 'Raio': 12.561100100000019, 'Massa': 2.3613652051610248}
{'Pressão': 2.670338291248542, 'Raio': 12.261100100000018, 'Massa': 2.307244814988184}
{'Pressão': 3.087239896986601, 'Raio': 12.111100100000018, 'Massa': 2.2784276856193166}
{'Pressão': 3.630909006863514, 'Raio': 11.811100100000017, 'Massa': 2.2113443099958867}
{'Pressão': 4.2420224746314945, 'Raio': 11.661100100000017, 'Massa': 2.175425815332267}
{'Pressão': 4.924562888655954, 'Raio': 11.511100100000016, 'Massa': 2.13644171806379}
{'Pressão': 5.682630279039771, 'Raio': 11.361100100000016, 'Massa': 2.095428604648281}
{'Pressão': 6.522297585525073, 'Raio': 11.211100100000015, 'Massa': 2.053169075534972}
{'Pressão': 7.449185382221641, 'Raio': 11.061100100000015, 'Massa': 2.0102620898119583}
